,ip.ttl,tcp.window_size,ip.flags.df,probability
0,120,65535,1,0.4
1,120,65535,,0.3
2,121,65535,1,0.4
3,121,65535,,0.3
4,122,65535,1,0.4
5,122,65535,,0.3
6,123,65535,1,0.4
7,123,65535,,0.3
8,124,65535,1,0.4
9,124,65535,,0.3
10,125,65535,1,0.4
11,125,65535,,0.3
12,126,65535,1,0.4
13,126,65535,,0.3
14,127,65535,1,0.4
15,127,65535,,0.3
16,128,65535,1,0.4
17,128,65535,,0.3
18,120,,1,0.1
19,120,,,0.1
20,121,,1,0.1
21,121,,,0.1
22,122,,1,0.1
23,122,,,0.1
24,123,,1,0.1
25,123,,,0.1
26,124,,1,0.1
27,124,,,0.1
28,125,,1,0.1
29,125,,,0.1
30,126,,1,0.1
31,126,,,0.1
32,127,,1,0.1
33,127,,,0.1
34,128,,1,0.1
35,128,,,0.1
36,,65535,1,0.1
37,,65535,,0.1
38,,,1,0.03
39,,,,0.02
